id,key,value,type
16237818,lit,24/7,regular
16237818,maxspeed,50,regular
16237818,conditional,60 @ (23:00-05:00),maxspeed
16237818,name,Oławska,regular
16237818,oneway,yes,regular
16237818,maxspeed,PL:urban,source
16237818,surface,asphalt,regular
16237818,tunnel,yes,regular
16237819,highway,secondary,regular
16237819,lanes,2,regular
16237819,maxspeed,50,regular
16237819,conditional,60 @ (23:00-05:00),maxspeed
16237819,name,Oławska,regular
16237819,oneway,yes,regular
16237819,maxspeed,PL:urban,source
16237819,surface,asphalt,regular
16237822,highway,secondary,regular
16237822,lanes,2,regular
16237822,layer,-1,regular
16237822,lit,24/7,regular
16237822,maxspeed,50,regular
16237822,conditional,60 @ (23:00-05:00),maxspeed
16237822,name,Oławska,regular
16237822,oneway,yes,regular
16237822,maxspeed,PL:urban,source
16237822,surface,asphalt,regular
16237822,tunnel,yes,regular
16237824,cycleway,lane,regular
16237824,highway,secondary,regular
16237824,lanes,2,regular
16237824,maxspeed,50,regular
16237824,conditional,60 @ (23:00-05:00),maxspeed
16237824,name,Białoskórnicza,regular
16237824,oneway,yes,regular
16237824,maxspeed,PL:urban,source
16237824,surface,asphalt,regular
16237826,highway,tertiary,regular
16237826,lanes,2,regular
16237826,maxspeed,50,regular
16237826,name,Nowy Świat,regular
16237826,oneway,yes,regular
16237826,maxspeed,PL:urban,source
16237826,surface,asphalt,regular
16237826,lanes,merge_to_right|none,turn
16313048,agricultural,no,regular
16313048,conditional,destination@marked,agricultural
16313048,highway,tertiary,regular
16313048,lanes,2,regular
16313048,maxspeed,50,regular
16313048,maxweight,9,regular
16313048,conditional,none@marked,maxweight
16313048,name,Henryka Sienkiewicza,regular
16313048,de,Sternstraße,old_name
16313048,oneway,yes,regular
16313048,maxspeed,PL:urban,source
16313048,maxweight,PL:sign_B-5_9,source
16313048,surface,asphalt,regular
16313048,lanes,left|through;right,turn
16313049,highway,tertiary,regular
16313049,lanes,2,regular
16313049,maxspeed,50,regular
16313049,name,Księcia Józefa Poniatowskiego,regular
16313049,oneway,yes,regular
16313049,maxspeed,PL:urban,source
16313049,surface,asphalt,regular
16313050,bicycle,yes,regular
16313050,emergency,yes,regular
16313050,highway,living_street,regular
16313050,lanes,2,regular
16313050,name,Plac Generała Józefa Bema,regular
16313050,note,"dostęp dla rowerów, taxi i komunikacji miejskiej",regular
16313050,psv,yes,regular
16313050,vehicle,no,regular
16313051,highway,tertiary,regular
16313051,lanes,2,regular
16313051,maxspeed,50,regular
16313051,name,Bolesława Drobnera,regular
16313051,oneway,yes,regular
16313051,maxspeed,PL:urban,source
16313051,surface,asphalt,regular
16313051,lanes,through;right|right,turn
16313052,agricultural,no,regular
16313052,conditional,destination@marked,agricultural
16313052,highway,tertiary,regular
16313052,lanes,2,regular
16313052,maxspeed,50,regular
16313052,conditional,60 @ (23:00-05:00),maxspeed
16313052,maxweight,9,regular
16313052,conditional,none@marked,maxweight
16313052,name,Henryka Sienkiewicza,regular
16313052,de,Sternstraße,old_name
16313052,oneway,yes,regular
16313052,maxspeed,PL:urban,source
16313052,maxweight,PL:sign_B-5_9,source
16313052,surface,asphalt,regular
16313053,agricultural,no,regular
16313053,conditional,destination@marked,agricultural
16313053,highway,tertiary,regular
16313053,lanes,3,regular
16313053,maxspeed,50,regular
16313053,maxweight,9,regular
16313053,conditional,none@marked,maxweight
16313053,name,Henryka Sienkiewicza,regular
16313053,oneway,yes,regular
16313053,maxspeed,PL:urban,source
16313053,maxweight,PL:sign_B-5_9,source
16313053,surface,asphalt,regular
16313053,lanes,left|left;through|through,turn
16313055,highway,tertiary,regular
16313055,lanes,2,regular
16313055,psv:backward,1,lanes
16313055,name,Hugona Kołłątaja,regular
16313055,de,Taschenstrasse,old_name
16313055,oneway,yes,regular
16313055,surface,asphalt,regular
16313057,highway,tertiary,regular
16313057,lanes,2,regular
16313057,maxspeed,50,regular
16313057,conditional,60 @ (23:00-05:00),maxspeed
16313057,name,Piaskowa,regular
16313057,de,Sandstraße,name
16313057,pl,Piaskowa,name
16313057,oneway,yes,regular
16313057,maxspeed,PL:urban,source
16313057,surface,asphalt,regular
16313058,bicycle,designated,regular
16313058,highway,residential,regular
16313058,motor_vehicle,no,regular
16313058,name,Plac Dominikański,regular
16313058,de,Dominikanerplatz,name
16313058,pl,Plac Dominikański,name
16313058,vehicle,no,regular
16313061,right,lane,cycleway
16313061,highway,secondary,regular
16313061,lanes,2,regular
16313061,maxspeed,50,regular
16313061,conditional,60 @ (23:00-05:00),maxspeed
16313061,name,Podwale,regular
16313061,oneway,yes,regular
16313061,maxspeed,PL:urban,source
16313061,surface,asphalt,regular
16313065,agricultural,no,regular
16313065,highway,residential,regular
16313065,lanes,2,regular
16313065,maxweight,3.5,regular
16313065,conditional,none@destination,maxweight
16313065,name,Świętej Jadwigi,regular
16313065,oneway,no,regular
16313065,surface,sett,regular
16313066,highway,tertiary,regular
16313066,lanes,3,regular
16313066,backward,1,lanes
16313066,forward,2,lanes
16313066,maxspeed,50,regular
16313066,conditional,60 @ (23:00-05:00),maxspeed
16313066,name,Księdza Wincentego Kraińskiego,regular
16313066,de,Münzstraße,old_name
16313066,oneway,no,regular
16313066,maxspeed,PL:urban,source
16313066,surface,asphalt,regular
16313067,highway,tertiary,regular
16313067,lanes,4,regular
16313067,maxspeed,50,regular
16313067,name,Tadeusza Kościuszki,regular
16313067,de,Tauentzienstraße,old_name
16313067,oneway,no,regular
16313067,maxspeed,PL:urban,source
16313067,surface,orto2015,source
16313067,surface,asphalt,regular
16313068,cycleway,lane,regular
16313068,surface,asphalt,cycleway
16313068,highway,tertiary,regular
16313068,lanes,2,regular
16313068,maxspeed,40,regular
16313068,name,Stawowa,regular
16313068,de,Teichstraße,name
16313068,pl,Stawowa,name
16313068,oneway,yes,regular
16313068,maxspeed,sign,source
16313068,surface,sett,regular
16313069,highway,tertiary,regular
16313069,lanes,2,regular
16313069,maxspeed,50,regular
16313069,conditional,60 @ (23:00-05:00),maxspeed
16313069,name,Księdza Wincentego Kraińskiego,regular
16313069,oneway,yes,regular
16313069,maxspeed,PL:urban,source
16313069,surface,asphalt,regular
16313069,lanes,through|through,turn
16313070,highway,tertiary,regular
16313070,lanes,2,regular
16313070,name,Tadeusza Kościuszki,regular
16313070,oneway,yes,regular
16313070,surface,orto2015,source
16313070,surface,asphalt,regular
16313071,cycleway,lane,regular
16313071,highway,tertiary,regular
16313071,lanes,3,regular
16313071,maxspeed,50,regular
16313071,conditional,60 @ (23:00-05:00),maxspeed
16313071,name,Błogosławionego Czesława,regular
16313071,oneway,yes,regular
16313071,maxspeed,PL:urban,source
16313071,surface,asphalt,regular
16313071,lanes,left|through|through,turn
16313072,agricultural,no,regular
16313072,conditional,"yes @ (06:00-09:00,18:00-22:00); yes @ marked",agricultural
16313072,highway,tertiary,regular
16313072,lanes,2,regular
16313072,maxweight,3.5,regular
16313072,conditional,"none @ (06:00-09:00,18:00-22:00); none @ marked",maxweight
16313072,name,Księdza Piotra Skargi,regular
16313072,oneway,yes,regular
16313072,maxweight,PL:sign_B-5,source
16313072,surface,asphalt,regular
