id,user,uid,version,changeset,timestamp
17909461,rowers2,2445224,16,50676283,2017-07-29T16:53:48Z
17909462,wmyrda,1980824,18,51404903,2017-08-24T12:03:59Z
17909464,wmyrda,1980824,19,51404903,2017-08-24T12:03:59Z
17909465,rowers2,2445224,12,50139430,2017-07-08T20:45:28Z
17909469,wmyrda,1980824,12,51404903,2017-08-24T12:03:59Z
17909472,rowers2,2445224,13,49910180,2017-06-29T07:56:09Z
17909475,maraf24,2098272,17,55010333,2017-12-29T13:47:59Z
17909477,rowers2,2445224,23,50714878,2017-07-31T09:47:45Z
17909479,rowers2,2445224,12,50336579,2017-07-16T22:49:36Z
17909481,rowers2,2445224,11,50686316,2017-07-30T07:26:32Z
17909482,maraf24,2098272,6,27411039,2014-12-11T22:33:06Z
17909489,rowers2,2445224,8,50134320,2017-07-08T16:01:25Z
17909490,rowers2,2445224,24,50687798,2017-07-30T08:42:17Z
17909492,rowers2,2445224,15,51193126,2017-08-17T05:26:05Z
17909493,LeoKutno,1238786,17,41310403,2016-08-07T19:17:44Z
17909495,maraf24,2098272,9,33154088,2015-08-06T12:34:00Z
17909498,Zbigniew_Czernik,163896,16,42823328,2016-10-12T08:04:23Z
17912522,rowers2,2445224,19,50667241,2017-07-29T09:00:49Z
17912525,Piotr Podusowski,2988620,12,48898121,2017-05-22T19:55:09Z
17919633,Dotevo,476764,15,49819271,2017-06-25T17:36:55Z
17919646,rowers2,2445224,19,50394789,2017-07-19T04:53:06Z
17919652,rowers2,2445224,20,50134427,2017-07-08T16:06:39Z
17922920,rowers2,2445224,19,50133322,2017-07-08T15:08:50Z
17922921,rowers2,2445224,17,50134427,2017-07-08T16:06:39Z
17922922,rowers2,2445224,13,50134461,2017-07-08T16:07:59Z
17922923,rowers2,2445224,22,50134461,2017-07-08T16:07:59Z
17922924,rowers2,2445224,15,50134461,2017-07-08T16:08:00Z
17991109,one_half_3544,95117,22,44830576,2017-01-01T21:03:18Z
17999093,rowers2,2445224,27,50134760,2017-07-08T16:22:44Z
17999095,rowers2,2445224,23,50080846,2017-07-06T10:22:41Z
17999097,rowers2,2445224,9,50139430,2017-07-08T20:45:28Z
19198378,Dotevo,476764,21,47806135,2017-04-15T07:23:08Z
20310003,rowers2,2445224,19,50698348,2017-07-30T16:58:45Z
20319060,rowers2,2445224,18,50890888,2017-08-06T17:14:29Z
21153610,rowers2,2445224,12,50695207,2017-07-30T14:33:56Z
21587251,one_half_3544,95117,20,52245643,2017-09-21T14:34:03Z
21587253,rowers2,2445224,25,50199300,2017-07-11T11:24:40Z
21587255,rowers2,2445224,14,50079552,2017-07-06T09:25:31Z
21587257,wmyrda,1980824,20,51404903,2017-08-24T12:04:00Z
21587262,gdzie-dojade,1034786,3,14060433,2012-11-27T15:41:01Z
